 # Mon Nov 10 17:34:22 2008
 # MSTW 2008 NLO PDF grid for eigenvector   20.
 # distance(t),tolerance(T) =   22.0078902  8.71854801
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  5.0082E+01  2.4874E+00  2.4968E+00  1.9322E+00  1.6474E+00  5.0641E-01  6.3860E-04  1.0121E-02 -7.0633E-03
  6.4351E+01  2.9241E+00  2.9337E+00  2.3739E+00  2.0900E+00  9.5652E-01  6.9564E-04  1.0331E-02 -7.1188E-03
  7.9086E+01  3.3755E+00  3.3852E+00  2.8297E+00  2.5466E+00  1.4198E+00  7.4871E-04  1.0520E-02 -7.1675E-03
  9.5749E+01  3.8869E+00  3.8968E+00  3.3454E+00  3.0631E+00  1.9429E+00  8.0351E-04  1.0711E-02 -7.2150E-03
  1.1099E+02  4.3557E+00  4.3657E+00  3.8176E+00  3.5361E+00  2.4212E+00  8.4992E-04  1.0869E-02 -7.2532E-03
  1.3127E+02  4.9816E+00  4.9917E+00  4.4476E+00  4.1669E+00  3.0584E+00  9.0736E-04  1.1061E-02 -7.2982E-03
  1.5087E+02  5.5888E+00  5.5990E+00  5.0583E+00  4.7784E+00  3.6754E+00  9.5922E-04  1.1230E-02 -7.3368E-03
  1.7023E+02  6.1912E+00  6.2015E+00  5.6639E+00  5.3846E+00  4.2867E+00  1.0076E-03  1.1386E-02 -7.3711E-03
  1.9680E+02  7.0220E+00  7.0324E+00  6.4987E+00  6.2202E+00  5.1285E+00  1.0702E-03  1.1583E-02 -7.4134E-03
  2.2382E+02  7.8720E+00  7.8825E+00  7.3523E+00  7.0746E+00  5.9887E+00  1.1303E-03  1.1768E-02 -7.4518E-03
  2.5097E+02  8.7315E+00  8.7421E+00  8.2151E+00  7.9381E+00  6.8576E+00  1.1876E-03  1.1942E-02 -7.4867E-03
  2.7989E+02  9.6530E+00  9.6638E+00  9.1399E+00  8.8637E+00  7.7884E+00  1.2460E-03  1.2116E-02 -7.5205E-03
  3.0992E+02  1.0617E+01  1.0628E+01  1.0107E+01  9.8310E+00  8.7609E+00  1.3041E-03  1.2287E-02 -7.5527E-03
  3.4001E+02  1.1589E+01  1.1600E+01  1.1082E+01  1.0807E+01  9.7411E+00  1.3601E-03  1.2449E-02 -7.5821E-03
  3.6973E+02  1.2556E+01  1.2567E+01  1.2051E+01  1.1777E+01  1.0716E+01  1.4136E-03  1.2601E-02 -7.6092E-03
  4.0109E+02  1.3583E+01  1.3594E+01  1.3081E+01  1.2807E+01  1.1751E+01  1.4682E-03  1.2755E-02 -7.6356E-03
  4.3327E+02  1.4645E+01  1.4656E+01  1.4145E+01  1.3872E+01  1.2820E+01  1.5227E-03  1.2907E-02 -7.6609E-03
  4.6514E+02  1.5703E+01  1.5715E+01  1.5206E+01  1.4934E+01  1.3886E+01  1.5753E-03  1.3051E-02 -7.6843E-03
  4.9645E+02  1.6751E+01  1.6762E+01  1.6256E+01  1.5984E+01  1.4939E+01  1.6257E-03  1.3188E-02 -7.7058E-03
  5.2916E+02  1.7852E+01  1.7864E+01  1.7360E+01  1.7088E+01  1.6048E+01  1.6773E-03  1.3327E-02 -7.7270E-03
  5.6257E+02  1.8985E+01  1.8997E+01  1.8495E+01  1.8224E+01  1.7187E+01  1.7288E-03  1.3464E-02 -7.7474E-03
  5.9548E+02  2.0109E+01  2.0121E+01  1.9621E+01  1.9350E+01  1.8317E+01  1.7786E-03  1.3595E-02 -7.7664E-03
  6.2764E+02  2.1215E+01  2.1227E+01  2.0729E+01  2.0459E+01  1.9428E+01  1.8264E-03  1.3720E-02 -7.7840E-03
  6.6108E+02  2.2372E+01  2.2384E+01  2.1887E+01  2.1618E+01  2.0591E+01  1.8753E-03  1.3846E-02 -7.8013E-03
  6.9507E+02  2.3555E+01  2.3567E+01  2.3073E+01  2.2804E+01  2.1780E+01  1.9243E-03  1.3972E-02 -7.8181E-03
  7.2845E+02  2.4725E+01  2.4737E+01  2.4245E+01  2.3976E+01  2.2955E+01  1.9717E-03  1.4093E-02 -7.8337E-03
  7.6097E+02  2.5872E+01  2.5885E+01  2.5393E+01  2.5125E+01  2.4108E+01  2.0172E-03  1.4208E-02 -7.8482E-03
  7.9464E+02  2.7068E+01  2.7080E+01  2.6590E+01  2.6322E+01  2.5308E+01  2.0639E-03  1.4325E-02 -7.8626E-03
  8.2887E+02  2.8290E+01  2.8303E+01  2.7815E+01  2.7547E+01  2.6536E+01  2.1107E-03  1.4441E-02 -7.8765E-03
  8.6230E+02  2.9491E+01  2.9503E+01  2.9017E+01  2.8750E+01  2.7741E+01  2.1560E-03  1.4553E-02 -7.8896E-03
  8.9487E+02  3.0669E+01  3.0681E+01  3.0197E+01  2.9930E+01  2.8923E+01  2.1996E-03  1.4660E-02 -7.9017E-03
  9.2852E+02  3.1892E+01  3.1905E+01  3.1421E+01  3.1155E+01  3.0151E+01  2.2443E-03  1.4770E-02 -7.9138E-03
 -7.3337E+00  8.7122E-01  8.7976E-01  2.9686E-01  0.0000E+00  0.0000E+00  1.5194E-04  8.6886E-03 -6.7961E-03
 -7.0328E+00  8.4075E-01  8.4949E-01  2.7367E-01  0.0000E+00  0.0000E+00  1.9963E-04  8.9434E-03 -6.8877E-03
 -6.4724E+00  8.3256E-01  8.4145E-01  2.7076E-01  0.0000E+00  0.0000E+00  2.3747E-04  9.1347E-03 -6.9542E-03
 -5.1210E+00  8.4468E-01  8.5377E-01  2.8976E-01  0.0000E+00  0.0000E+00  2.9127E-04  9.3930E-03 -7.0409E-03
 -5.1210E+00  8.4468E-01  8.5377E-01  2.8976E-01  8.0711E-08  0.0000E+00  2.9127E-04  9.3930E-03 -7.0409E-03
 -3.4149E+00  8.7808E-01  8.8733E-01  3.2862E-01  4.1153E-02  0.0000E+00  3.3891E-04  9.6077E-03 -7.1097E-03
 -1.1814E+00  9.3113E-01  9.4053E-01  3.8672E-01  1.0031E-01  0.0000E+00  3.8614E-04  9.8121E-03 -7.1732E-03
  1.2685E+00  9.9454E-01  1.0041E+00  4.5433E-01  1.6880E-01  0.0000E+00  4.2792E-04  9.9868E-03 -7.2258E-03
  4.1206E+00  1.0717E+00  1.0814E+00  5.3539E-01  2.5070E-01  0.0000E+00  4.6887E-04  1.0153E-02 -7.2745E-03
  7.7331E+00  1.1722E+00  1.1820E+00  6.3986E-01  3.5604E-01  0.0000E+00  5.1326E-04  1.0328E-02 -7.3245E-03
  1.1391E+01  1.2756E+00  1.2855E+00  7.4669E-01  4.6360E-01  0.0000E+00  5.5259E-04  1.0480E-02 -7.3666E-03
  1.5426E+01  1.3909E+00  1.4009E+00  8.6516E-01  5.8279E-01  0.0000E+00  5.9124E-04  1.0625E-02 -7.4060E-03
  1.8978E+01  1.4931E+00  1.5032E+00  9.6981E-01  6.8800E-01  0.0000E+00  6.2230E-04  1.0740E-02 -7.4364E-03
  3.2897E+01  1.8987E+00  1.9090E+00  1.3831E+00  1.1031E+00  0.0000E+00  7.2663E-04  1.1112E-02 -7.5314E-03
  3.2897E+01  1.8987E+00  1.9090E+00  1.3831E+00  1.1031E+00  3.9574E-08  7.2663E-04  1.1112E-02 -7.5314E-03
  3.6151E+01  2.0003E+00  2.0107E+00  1.4863E+00  1.2066E+00  1.2019E-01  7.4944E-04  1.1190E-02 -7.5504E-03
  4.6733E+01  2.3288E+00  2.3394E+00  1.8194E+00  1.5407E+00  4.6047E-01  8.1771E-04  1.1421E-02 -7.6052E-03
  5.9364E+01  2.7210E+00  2.7317E+00  2.2161E+00  1.9386E+00  8.6603E-01  8.9059E-04  1.1660E-02 -7.6597E-03
  7.2323E+01  3.1238E+00  3.1346E+00  2.6229E+00  2.3464E+00  1.2806E+00  9.5836E-04  1.1877E-02 -7.7071E-03
  8.6891E+01  3.5775E+00  3.5885E+00  3.0806E+00  2.8050E+00  1.7460E+00  1.0283E-03  1.2095E-02 -7.7531E-03
  1.0015E+02  3.9915E+00  4.0026E+00  3.4977E+00  3.2229E+00  2.1694E+00  1.0875E-03  1.2276E-02 -7.7898E-03
  1.1770E+02  4.5415E+00  4.5528E+00  4.0515E+00  3.7777E+00  2.7308E+00  1.1607E-03  1.2495E-02 -7.8327E-03
  1.3458E+02  5.0728E+00  5.0842E+00  4.5860E+00  4.3130E+00  3.2718E+00  1.2267E-03  1.2689E-02 -7.8692E-03
  1.5119E+02  5.5979E+00  5.6094E+00  5.1140E+00  4.8418E+00  3.8056E+00  1.2883E-03  1.2867E-02 -7.9016E-03
  1.7388E+02  6.3191E+00  6.3308E+00  5.8388E+00  5.5676E+00  4.5378E+00  1.3680E-03  1.3093E-02 -7.9410E-03
  1.9684E+02  7.0540E+00  7.0657E+00  6.5770E+00  6.3066E+00  5.2828E+00  1.4444E-03  1.3306E-02 -7.9765E-03
  2.1982E+02  7.7942E+00  7.8061E+00  7.3203E+00  7.0507E+00  6.0323E+00  1.5172E-03  1.3505E-02 -8.0085E-03
  2.4421E+02  8.5852E+00  8.5972E+00  8.1143E+00  7.8455E+00  6.8324E+00  1.5914E-03  1.3705E-02 -8.0392E-03
  2.6944E+02  9.4096E+00  9.4217E+00  8.9414E+00  8.6734E+00  7.6656E+00  1.6651E-03  1.3901E-02 -8.0681E-03
  2.9462E+02  1.0238E+01  1.0251E+01  9.7729E+00  9.5056E+00  8.5026E+00  1.7361E-03  1.4086E-02 -8.0943E-03
  3.1942E+02  1.1061E+01  1.1073E+01  1.0598E+01  1.0331E+01  9.3324E+00  1.8039E-03  1.4262E-02 -8.1182E-03
  3.4550E+02  1.1932E+01  1.1944E+01  1.1471E+01  1.1205E+01  1.0211E+01  1.8732E-03  1.4438E-02 -8.1413E-03
  3.7219E+02  1.2830E+01  1.2842E+01  1.2371E+01  1.2106E+01  1.1116E+01  1.9422E-03  1.4612E-02 -8.1631E-03
